ID;an;NO_SEQ_COLL;DT_ACCDN;heure_accdn;JR_SEMN_ACCDN;gravite;NB_DECES_PIETON;NB_BLESSES_PIETON;NB_VICTIMES_PIETON;NB_DECES_VELO;NB_BLESSES_VELO;NB_VICTIMES_VELO;CD_MUNCP;REG_ADM;MRC;NO_CIVIQ_ACCDN;SFX_NO_CIVIQ_ACCDN;RUE_ACCDN;VILLE;RUE_VILLE;TP_REPRR_ACCDN;ACCDN_PRES_DE;NO_ROUTE;CD_PNT_CDRNL_ROUTE;BORNE_KM_ACCDN;NB_METRE_DIST_ACCD;CD_PNT_CDRNL_REPRR;VITESSE_AUTOR;CD_GENRE_ACCDN;CD_SIT_PRTCE_ACCDN;CD_ETAT_SURFC;CD_ECLRM;CD_ENVRN_ACCDN;CD_CATEG_ROUTE;CD_ETAT_CHASS;CD_ASPCT_ROUTE;CD_LOCLN_ACCDN;CD_POSI_ACCDN;CD_CONFG_ROUTE;CD_COND_METEO;nb_bicyclette;nb_autres_types;nb_veh_non_precise;address;lat;lon
43978;2015;2015 _ 43979;42194;17:00:00-17:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;DES HOTELS;,Quebec,QC,Canada;DES HOTELS,Quebec,QC,Canada;1.0;CHARLES M MONSARRAT;;;;;N;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;13.0;32.0;6.0;2.0;11.0;1;0;0;1 DES HOTELS;47.1504291;23.8767184615
44041;2015;2015 _ 44042;42198;22:00:00-22:59:00;LU;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;MARIE-DE-L'INCARNATION;,Quebec,QC,Canada;MARIE-DE-L'INCARNATION,Quebec,QC,Canada;1.0;RAOUL JOBIN;;;;;;50.0;33.0;;11.0;3.0;3.0;13.0;1.0;11.0;32.0;6.0;3.0;11.0;1;0;0;1 MARIE-DE-L'INCARNATION;0.0;0.0
44064;2015;2015 _ 44065;42200;13:00:00-13:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );17010.0;;BD HENRI BOURASSA;,Quebec,QC,Canada;BD HENRI BOURASSA,Quebec,QC,Canada;;;;;;;;50.0;33.0;;11.0;1.0;3.0;13.0;1.0;13.0;99.0;7.0;3.0;11.0;1;0;0;17010 BD HENRI BOURASSA;45.6207876;-73.588462
44071;2015;2015 _ 44072;42200;15:00:00-15:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;BD Charest Ouest;,Quebec,QC,Canada;BD Charest Ouest,Quebec,QC,Canada;2.0;VERDUN;;;;;;50.0;33.0;;11.0;1.0;3.0;12.0;1.0;14.0;33.0;8.0;1.0;11.0;1;0;0;1 BD Charest Ouest;0.0;0.0
44076;2015;2015 _ 44077;42200;17:00:00-17:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;CHENES O;,Quebec,QC,Canada;CHENES O,Quebec,QC,Canada;1.0;DUVAL;;;;;;50.0;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;32.0;6.0;2.0;11.0;1;0;0;1 CHENES O;0.0;0.0
44078;2015;2015 _ 44079;42200;23:00:00-23:59:00;ME;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;18E RUE;,Quebec,QC,Canada;18E RUE,Quebec,QC,Canada;1.0;MT THABOR;;;;;;50.0;31.0;;11.0;3.0;3.0;13.0;2.0;11.0;32.0;;3.0;11.0;1;0;0;1 18E RUE;46.8359511;-71.2261586
44090;2015;2015 _ 44091;42201;15:00:00-15:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;PERE LELIEVRE;,Quebec,QC,Canada;PERE LELIEVRE,Quebec,QC,Canada;1.0;LABRECQUE;;;;;;50.0;33.0;;11.0;1.0;2.0;13.0;1.0;11.0;32.0;5.0;3.0;11.0;1;0;0;1 PERE LELIEVRE;48.1199655;-1.2008321
44091;2015;2015 _ 44092;42201;15:00:00-15:59:00;JE;Leger;0;0;0;0;1;1;23072;Capitale-Nationale(03);Quebec (23 );;;RTE 138;,Quebec,QC,Canada;RTE 138,Quebec,QC,Canada;1.0;RTE RACETTE;138.0;;;;;50.0;33.0;;11.0;1.0;3.0;12.0;;14.0;32.0;;2.0;11.0;1;0;0;1 RTE 138;45.4224865;-73.652393
44095;2015;2015 _ 44096;42201;17:00:00-17:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;AV TURMEL;,Quebec,QC,Canada;AV TURMEL,Quebec,QC,Canada;1.0;L AFFLUENT;;;;;;50.0;31.0;;11.0;1.0;2.0;14.0;1.0;11.0;32.0;5.0;2.0;11.0;1;0;0;1 AV TURMEL;48.6269964;-1.03122
44096;2015;2015 _ 44097;42201;18:00:00-18:59:00;JE;Leger;0;0;0;0;1;1;23027;Capitale-Nationale(03);Quebec (23 );;;AV PAINCHAUD;,Quebec,QC,Canada;AV PAINCHAUD,Quebec,QC,Canada;2.0;BD RENE LEVLESQUE;;;;;;;33.0;;11.0;1.0;2.0;14.0;1.0;11.0;33.0;7.0;2.0;11.0;1;0;0;1 AV PAINCHAUD;46.7874837;-71.2592719
